	name	description	relationships
178	TimeWaveformMeasurement	A signal-processed real or complex time waveform measurement. A complex time waveform is obtained when you have a decimated signal over a certain frequency range.	['TimeWaveformSetup', 'Measure', 'xs:boolean', 'BinaryData']
179	VectorMeasurement	A signal-processed single amplitude or single vector measurement that is related to frequency or order ranges.	['VectorSetup', 'PostScalingType', 'Measure', 'Measure', 'Measure']
180	Sample	Note: ShortName is the alpha-numeric sample number.	['Agent', 'MaterialItem', 'SampleHierarchy', 'SampleHierarchy']
181	SampleHierarchy	Note: ShortName is the alpha-numeric sample number.	['Sample', 'Sample', 'cct:NumericType']
182	Test	N/A	['TestType', 'Agent', 'MaterialItem', 'Sample', 'TestComponent', 'TestGroup']
183	TestComponent	N/A	['TestComponentType', 'Test', 'TestGroupComponent', 'TestComponentRegion']
184	TestComponentType	Different kinds of Test Components, which are the resulting categories of data from performing a Test.	[]
185	TestGroupComponent	N/A	['cct:NumericType', 'TestGroup', 'TestComponent']
186	TestGroup	N/A	['Test', 'TestGroupComponent']
187	TestType	N/A	[]
188	GridTriggeredRegion	Total dimensions of the rectangular grid related to the binary image (grid resolution).	['Coordinate', 'HighlightType', 'Coordinate', 'Coordinate', 'TriggeredRegionMeasurement']
189	HighlightType	Different kinds of highlight areas for drawing attention to certain locations; used for binary areas.	[]
190	MeasurementLocationTriggeredRegion	"Note: This could be considered the ""inverse"" of the Event source association. However, the more explicit association back to MeasurementLocation is used instead."	['MeasurementLocation', 'Region', 'RegionType', 'UTCDateTime', 'Agent', 'TriggeredRegionMeasurement', 'TriggeredRegionTestComponent']
191	TriggeredRegionMeasurement	N/A	['MeasurementLocationTriggeredRegion', 'Measurement', 'GridTriggeredRegion']
192	TriggeredRegionTestComponent	N/A	['MeasurementLocationTriggeredRegion', 'TestComponent']
193	ActualEvent	An actual logged event (alarm/operational change/abnormal condition) related to a segment or asset at a specific point in time or during a specific interval of time.	['SubstantiatedByMeasurement']
194	AgentRoleWithEvent	N/A	['AgentRole', 'Event']
195	ChangePatternType	Different kinds of change patterns observed in problems.	[]
196	Event	"Typically Events are associated with Assets, AssetTypes, Segments, SegmentTypes, Models, and Ports. Specific Entity subclasses define the ""inverse"" association to specific subclasses of Event."	['EventType', 'Entity', 'EventLink', 'EventLink', 'AgentRoleWithEvent', 'FunctionAffectedByEvent', 'RecommendationFromEvent']
197	EventLink	Cause and effect linkages between events in a causal network.	['Event', 'Event', 'Probability']
198	EventType	"Different kinds of events including operating events and failure events such as Logged Operating Events, Failure ""Modes"", Failure ""Effects"", Failure ""Mechanisms"", Defect Events Abnormal Situations, Alarm Events, etc.
An event is NOT work performed by an entity, but a log of the actual events which occurred at a service segment or asset over time."	['SolutionPackage']
199	TimestampedEvent	"If either a Start or End is provided, this indicates either a point-in-time event or that the other attribute is unknown.

If both a Start and End is provided, this indicates an activity with duration."	['UTCDateTime', 'UTCDateTime', 'GeoPosition', 'GeoPosition', 'Request', 'Request', 'ActiveWork', 'ActiveWork', 'CompletedWork', 'CompletedWork']
200	Evidence	N/A	['ActualEvent', 'Measurement']
201	HypotheticalEvent	Possible failure modes and effects from an engineering study (often FMECA and RCM analysis).	['SeverityLevelType', 'ProposedEventForHypotheticalEvent', 'OrderedList', 'Document', 'SolutionPackage']
202	ProposedEvent	A proposed event that might have occurred in the past, present or future that explains events and measurement events, including diagnostic/prognostic event outputs.	['SeverityLevelType', 'Probability', 'ChangePatternType', 'Audit', 'Evidence', 'ProposedEventForHypotheticalEvent']
203	ProposedEventForHypotheticalEvent	N/A	['ProposedEvent', 'HypotheticalEvent']
204	SubstantiatedByMeasurement	N/A	['Measurement', 'Agent']
205	GeoPosition	An identifier of a geographic place on the earth.	['GPSLocation']
206	GPSDatumType	N/A	[]
207	GPSElevationType	N/A	[]
208	GPSLocation	For 2D and 3D GPS position.	['cct:NumericType', 'cct:NumericType', 'cct:NumericType', 'cct:NumericType', 'GPSDatumType', 'GPSPrecisionType', 'GPSElevationType']
209	GPSPrecisionType	N/A	[]
210	AmbiguitySet	N/A	['AmbiguitySetType', 'Segment', 'Asset', 'LogicalConnector']
211	AmbiguitySetType	Different kinds of ambiguity set logical expression formats.	[]
212	HypotheticalEventAmbiguitySet	N/A	[]
213	HypotheticalEventLogicalConnector	N/A	['HypotheticalEvent']
214	LogicalConnector	Allows logical expressions to be represented as a logic tree with hypothetical or proposed event leaf nodes at the bottom. Reverse polish notation of the logical expression is readly formed from this tree.	['LogicalConnectorType', 'cct:NumericType', 'Probability', 'AmbiguitySet', 'LogicalConnector']
215	LogicalConnectorType	Different kinds of logical expression formats.	[]
216	ProposedEventAmbiguitySet	Estimated time when event started or will start.	['UTCDateTime', 'UTCDateTime', 'HypotheticalEventAmbiguitySet', 'ActualEvent']
217	ProposedEventLogicalConnector	N/A	['ProposedEvent']
218	AgentRoleWithAssessment	N/A	['AgentRole', 'Assessment']
219	Assessment	Timestamp when the assessment was performed by the agent.	['UTCDateTime', 'AgentRoleWithAssessment', 'Audit']
220	Audit	N/A	['DataQualityType']
221	HealthAssessment	An assessment of a specific entity's health.	['cct:NumericType', 'Percentage', 'HealthLevelType', 'ChangePatternType', 'TimestampedEvent', 'RecommendationFromHealthAssessment']
222	HealthLevelType	Health on a 0 to 100 scale where 100 is the maximum health.	['cct:NumericType']
223	RemainingLifeAssessment	An assessment of the remaining life of an entity.	['Measure', 'Measure', 'Percentage']
224	Recommendation	Used to capture recommendations resulting from an event or health assessment (e.g. as part of an advisory generation process), possibly triggering a request for work.	['SegmentType', 'AssetType', 'Segment', 'Model', 'Asset', 'OrderedList', 'PriorityLevelType', 'RecommendationFromEvent', 'RecommendationFromHealthAssessment', 'SubstantiatedByMeasurement', 'RequestForWork', 'RecommendationWorkRequest', 'RecommendationWorkStep']
225	RecommendationFromEvent	N/A	['Recommendation', 'Event']
226	RecommendationFromHealthAssessment	N/A	['Recommendation', 'HealthAssessment']
227	AgentRoleWithWork	N/A	['Work']
228	Cycle	N/A	['Measure', 'MeasurementLocation']
229	PriorityLevelType	A categorization of priority. For example, High Priority, Low Priority.	['cct:NumericType']
230	SolutionPackage	A pre-defined set of work that can specify the exact required resources of materials, tools, documents and labor required to complete the job.	['SolutionPackageType', 'SolutionPackageHierarchy', 'SolutionPackageHierarchy', 'SegmentType', 'AssetType', 'Segment', 'Asset', 'OrderedList', 'SolutionPackageStep', 'Cycle', 'HypotheticalEvent']
231	SolutionPackageHierarchy	N/A	['SolutionPackage', 'SolutionPackage', 'cct:NumericType']
232	SolutionPackageStep	Associated ordered lists (Bill of Material, Bill of Labor, etc.) needed by a Solution Package Step.	['cct:NumericType', 'SolutionPackage', 'SegmentType', 'AssetType', 'Segment', 'Asset', 'OrderedList', 'OrderedList', 'WorkStep']
233	SolutionPackageType	N/A	[]
234	Work	N/A	['PriorityLevelType', 'WorkManagementType', 'WorkTaskType', 'AgentRoleWithWork']
235	WorkManagementType	N/A	[]
236	WorkTaskType	This WorkTaskType is only applicable for the specified WorkManagementType.	['WorkManagementType']
237	Request	Holds agents' requisitions for work, materials, tools, and/or labor.	['RequestType', 'Agent', 'Agent', 'PriorityLevelType', 'EngineeringStudyEntry', 'OrderedList', 'TimestampedEvent', 'TimestampedEvent', 'RequestChild', 'RequestChild']
238	RequestType	This entity standardizes the kinds of requisitions that can be made by an agent. For example, a request kind could be created for Make and Model Match-up.	[]
239	RequestChild	"A Request may comprise a set of child Requests. If order is specified, it implies that the child Requests should be completed in the specified order.

The child Requests are considered contained in the parent for purposes of deletion semantics. For example, if the parent Request is soft-deleted, all child requests (that is both the RequestChild relationship and the Request itself) must be soft-deleted. 

Note: there is no constraint on the propagation of lifecycle status changes as valid propagation depends on the type of Request. That is, if a parent Request is marked complete it is not implied that all child Requests are complete."	['Request', 'Request', 'cct:NumericType']
240	RequestForInformation	"
				A formal requisition for information about something of interest.
				For example, an RFI might be issued between an O/O and a supplier to obtain information regarding model specifications.
			"	['UTCDateTime', 'Entity']
241	RequestForWork	An requisition for an action to be taken to a work management system.	['Segment', 'Asset', 'OrderedList', 'WorkManagementType', 'WorkTaskType', 'xs:boolean', 'UTCDateTime', 'UTCDateTime', 'UTCDateTime', 'UTCDateTime', 'Measure', 'SolutionPackage', 'Recommendation', 'ActiveWork']
242	ActiveWork	N/A	['SolutionPackage', 'TimestampedEvent', 'RequestForWork', 'TimestampedEvent', 'TimestampedEvent']
243	CalendaredWork	Request for action to begin before this time.	['UTCDateTime', 'UTCDateTime', 'UTCDateTime', 'UTCDateTime', 'UTCDateTime', 'UTCDateTime', 'Segment', 'Asset', 'OrderedList', 'EngineeringStudyEntry', 'WorkStatus', 'CompletedWork']
244	RecommendationWorkRequest	N/A	['Recommendation', 'WorkRequest']
245	RecommendationWorkStep	N/A	['Recommendation', 'WorkStep']
246	WorkStatus	Defines the status of the work at a given point in time.	['WorkStatusType', 'CalendaredWork']
247	WorkStatusType	N/A	[]
248	WorkOrder	A collection of one or more Work Requests (optionally associated with Solution Packages) which are broken into steps, scheduled, and completed over time.	['Cycle', 'WorkRequest', 'WorkStep', 'WorkOrderHierarchy', 'WorkOrderHierarchy', 'Cycle']
249	WorkOrderHierarchy	Relationship of master parent work order to follow-on work orders.	['WorkOrder', 'WorkOrder', 'cct:NumericType']
250	WorkRequest	Created and tracked by a work management system, once a request for work has been transmitted and successfully received.	['WorkOrder', 'RecommendationWorkRequest']
251	WorkStep	An individual step of a Solution Package, Work Request, or Work Order.	['WorkOrder', 'cct:NumericType', 'SolutionPackageStep', 'OrderedList', 'RecommendationWorkStep']
252	CompletedWork	Notes the actual work performed.	['OrderedList', 'OrderedList', 'TimestampedEvent', 'TimestampedEvent']
253	Document	The primary language of the document.	['xs:language', 'BinaryObject', 'cct:TextType', 'EntityContent', 'DocumentForAsset', 'DocumentForModel', 'DocumentForSegment']
254	DocumentForAsset	N/A	['Document', 'Asset']
255	DocumentForModel	N/A	['Document', 'Model']
256	DocumentForSegment	N/A	['Document', 'Segment']
257	DocumentType	N/A	[]
258	EntityContent	Association class to describe structured content that can represented as CCOM data. For example, a Piping and Instrumentation Diagram (P&ID) that contains tags represented as Segments and process and signal networks represented as SegmentMeshes.	['Entity']
